title,rank,date,artist,trend
WITHOUT YOU,20,1/4/2021,The Kid LAROI,MOVE_UP
Accordion,21,1/4/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Rapp Snitch Knishes,22,1/4/2021,"MF DOOM, Mr Fantastik",MOVE_UP
L-Gante Rkt,23,1/4/2021,"Papu DJ, L-Gante",MOVE_DOWN
space girl,25,1/4/2021,Frances Forever,MOVE_DOWN
Touch You,26,1/4/2021,"遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹",MOVE_DOWN
Quicksand,27,1/4/2021,Morray,MOVE_DOWN
The Chocolate Conquistadors,28,1/4/2021,"BADBADNOTGOOD, MF DOOM",NEW_ENTRY
Bertaut,29,1/4/2021,Nadin Amizah,MOVE_DOWN
Peng Black Girls Remix,30,1/4/2021,"ENNY, Jorja Smith",MOVE_DOWN
ALÔ AMBEV - funk remix,31,1/4/2021,DJ Lucas Beat,MOVE_UP
At My Worst,32,1/4/2021,Pink Sweat$,MOVE_UP
廻廻奇譚,33,1/4/2021,Eve,SAME_POSITION
Paypal,34,1/4/2021,"Teto Mc, Lucas Corleone",NEW_ENTRY
Whoopty,35,1/4/2021,CJ,MOVE_DOWN
Seni Dert Etmeler,36,1/4/2021,Madrigal,MOVE_DOWN
E-GIRLS ARE RUINING MY LIFE!,37,1/4/2021,"CORPSE, Savage Ga$p",MOVE_UP
Rhymes Like Dimes,38,1/4/2021,"MF DOOM, DJ Cucumber Slice",MOVE_UP
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",39,1/4/2021,"Bizarrap, Nathy Peluso",MOVE_UP
Rät,40,1/4/2021,Penelope Scott,MOVE_DOWN
Amor ou o Litrão,41,1/4/2021,"Petter Ferraz, Menor Nico",MOVE_DOWN
Dance With You,42,1/4/2021,"Skusta Clee, Yuridope",MOVE_UP
Si Me Tomo Una Cerveza,43,1/4/2021,"Migrantes, Alico",MOVE_DOWN
Mungkin Hari Ini Esok Atau Nanti,44,1/4/2021,Anneth,MOVE_DOWN
Makina,45,1/4/2021,UZI,MOVE_DOWN
"25 É Natal, 31 É Ano Novo (feat. MC GW)",46,1/4/2021,"Barca Na Batida, Luanzinho do Recife",MOVE_DOWN
